State (User order)	H3K9me3	H3K36me3	H4K20me1	H3K79me2	H3K4me1	H3K27ac	DNase	H3K9ac	H3K4me3	H3K4me2	H2A.Z	H3K27me3	dummy
1	7.259090321118675E-4	0.22364719060528074	0.4872016408060807	0.8515572708986311	0.8349346619912824	0.9863827077197503	0.807043218495715	0.9458963524468184	0.8515998919456336	0.994893798071395	0.35676632484928067	0.011590424291926561	0.0
2	0.0021579796872596676	0.44099819470361146	0.6949964901114984	0.8463996626081076	0.9185109393302181	0.6107092462629465	0.17787951226368495	0.053229872703875025	0.03518739993992883	0.28795975654125233	0.0043165138539034125	0.003336482673148125	0.0
3	0.005318112225453731	0.620799235890116	0.3389473243602145	0.4124873038220499	0.026030802814685814	0.011161865035065392	0.012756315633866389	9.651409246463282E-6	1.41537854765493E-4	0.001045404764720327	4.7844486003542245E-4	0.0015669212603402682	0.0
4	0.0012226078688934983	0.06219458640588045	0.20872872840218148	0.7511202826197539	0.6786245083884698	0.8829686020200929	0.6519979935001418	0.843217636390758	0.9031797423796861	0.986488021325495	0.5736193582580192	0.0069510586231849815	0.0
5	0.0050508541254409844	0.6364587420733819	0.017736944252489683	0.023182250055514067	0.006403628844837759	0.0034955007851525293	0.007236887216441333	3.4743790969916405E-5	1.4165808270562148E-4	7.764185035662031E-4	9.290575627247312E-4	0.0010375761460625214	0.0
6	0.006575227337430933	0.3891548319903451	0.38687094015281676	0.8703811157027963	0.19010721067384923	0.049332766031888964	0.022104383588796097	3.969502855906907E-4	0.00260215509135907	0.05803312876896119	1.254613678205638E-4	3.5442326411320833E-4	0.0
7	0.0013927810065662634	0.0923694553033563	0.12308779070245454	0.6399794228190622	0.8237180248221632	0.9761018025698723	0.8019424250424746	0.9461925057855886	0.8676635730549481	0.9963526278859356	0.5520630078669642	0.05245490650361906	0.0
8	0.0022131390944358743	0.30908777545595	0.14377529046719104	0.4460694682759598	0.8644420026985293	0.5865422731412723	0.20229509078934294	0.05638797663709564	0.043735900832558364	0.2551251270039162	0.014945150916474368	0.013923981998567576	0.0
9	0.005407654738693724	0.37192652484160055	0.024038052158656457	0.10622763762342455	0.01076552974773768	0.003394968923493425	0.010723206920765444	9.757096437905631E-7	3.7238857623618516E-5	4.883929874482392E-4	3.906618600965432E-4	0.003910093036905237	0.0
10	0.0013338779158242517	0.07215832738792681	0.29750613259581654	0.6943913175455189	0.8423654117373438	0.8531666915822356	0.5298571140669095	0.4525378060354121	0.41229892455084244	0.7342501845651969	0.24543618302779066	0.01284366931178286	0.0
11	0.006220687498692913	0.28798126104743893	0.0068179508029756865	0.02097273458715524	0.016588649852352075	0.005746348378981934	0.010587339047995144	1.7863319273507814E-5	9.930663622832132E-5	0.0012644535607789652	5.546772421847154E-4	0.0013581949997133948	0.0
12	0.007730060420230079	0.0705058953088866	0.31106226591294184	0.8517169477288635	0.13442193817736836	0.016087738748818203	0.016626872692592776	4.984557824325717E-6	6.554444470568465E-5	0.011860421323016236	1.2387662152696941E-5	2.928932132841589E-4	0.0
13	0.0027069297895962107	0.043640834314649664	0.038737290873653574	0.431416856917357	0.7202056350726542	0.738975596086696	0.5761410176848637	0.661734567636778	0.7496219878273807	0.9118949883903501	0.5849494050999339	0.06496413348913262	0.0
14	0.004467247249548108	0.012486552754777249	0.001966937908265004	0.03170307284110012	0.02139206264969921	0.00410839218419821	0.011283796620349248	2.7920378306269364E-5	5.641907584362229E-4	0.00240676685418697	0.0015210258513997782	0.009259751306269276	0.0
15	0.018251025870808343	0.841509076394884	0.013923950661706432	0.03420865722128832	0.013803875574196628	0.0065732858983341145	0.007444192175895981	1.886510594525126E-5	2.703394202530549E-4	0.001219388680190773	5.8348515293112614E-5	2.1882400330873694E-4	0.0
16	0.0019913871751772966	0.013353326611662459	0.0624504551180336	0.5908374774798765	0.6926540665565551	0.820852733321242	0.6557458694437729	0.7214902411016716	0.7823805523806959	0.9706163443855936	0.5883987557877153	0.06253068110782524	0.0
17	0.008768169384019931	0.040179387768958845	0.07009713341167982	0.6454018614177259	0.1471595710281146	0.047313172240676105	0.03752247388662243	3.314552005731151E-4	0.002283209474295938	0.050704928094800955	0.002423589244330178	0.011423315143016536	0.0
18	0.005933285673238597	0.06471279355040815	4.7560353923532274E-4	0.0059347906537155675	0.001776025792373254	2.2600305579009098E-4	0.00627084593794015	5.516908341369468E-6	3.376323204964775E-5	3.6587328576877216E-4	4.71630225245144E-4	2.156018579350698E-4	0.0
