37	13	U	-3.403139979362691E7	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	0.0
probinit	16	0.0
probinit	17	0.0
probinit	18	0.0
probinit	19	0.0
probinit	20	0.0
probinit	21	0.0
probinit	22	0.0
probinit	23	0.0
probinit	24	0.0
probinit	25	0.0
probinit	26	0.0
probinit	27	0.0
probinit	28	0.0
probinit	29	0.0
probinit	30	0.0
probinit	31	0.0
probinit	32	0.0
probinit	33	0.0
probinit	34	0.0
probinit	35	0.0
probinit	36	0.0
probinit	37	1.0
transitionprobs	1	1	0.9149901143021087
transitionprobs	1	2	0.07822167439471667
transitionprobs	1	3	0.0011163885334688872
transitionprobs	1	4	0.0
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	1	13	0.0
transitionprobs	1	14	0.0
transitionprobs	1	15	0.0
transitionprobs	1	16	0.0
transitionprobs	1	17	0.0
transitionprobs	1	18	0.0
transitionprobs	1	19	0.0
transitionprobs	1	20	0.0
transitionprobs	1	21	0.0
transitionprobs	1	22	0.0
transitionprobs	1	23	0.0
transitionprobs	1	24	0.0
transitionprobs	1	25	0.0
transitionprobs	1	26	0.0
transitionprobs	1	27	0.0
transitionprobs	1	28	0.0
transitionprobs	1	29	0.0
transitionprobs	1	30	0.0
transitionprobs	1	31	0.0
transitionprobs	1	32	0.0
transitionprobs	1	33	0.0
transitionprobs	1	34	0.0
transitionprobs	1	35	0.0
transitionprobs	1	36	0.0
transitionprobs	1	37	0.005671822769705793
transitionprobs	2	1	0.05913400874423936
transitionprobs	2	2	0.8355543792129377
transitionprobs	2	3	0.10095866147363623
transitionprobs	2	4	0.0
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.0
transitionprobs	2	15	0.0
transitionprobs	2	16	0.0
transitionprobs	2	17	0.0
transitionprobs	2	18	0.0
transitionprobs	2	19	0.0
transitionprobs	2	20	0.0
transitionprobs	2	21	0.0
transitionprobs	2	22	0.0
transitionprobs	2	23	0.0
